objectId,subType,name,description,folder,formName,formCategory,displayFormat,expression,tableName,tableSubType
C12FF09240489E51A4ED3698D49B15C1,attribute,ABT,"Tablas que agrupan las variables de diversas areas tematicas, se utiliza para construir modelos analiticos.",Schema Objects/Attributes/Gobierno del Dato/Disponibilidad de Procesos/ABT,ID,ID,number,ABT_ID,D_ABT,logical_table
C12FF09240489E51A4ED3698D49B15C1,attribute,ABT,"Tablas que agrupan las variables de diversas areas tematicas, se utiliza para construir modelos analiticos.",Schema Objects/Attributes/Gobierno del Dato/Disponibilidad de Procesos/ABT,ID,ID,number,ABT_ID,D_Tabla,logical_table
C12FF09240489E51A4ED3698D49B15C1,attribute,ABT,"Tablas que agrupan las variables de diversas areas tematicas, se utiliza para construir modelos analiticos.",Schema Objects/Attributes/Gobierno del Dato/Disponibilidad de Procesos/ABT,ID,ID,number,ABT_ID,F_TR_Disponibilidad_Proceso_VW,logical_table
C12FF09240489E51A4ED3698D49B15C1,attribute,ABT,"Tablas que agrupan las variables de diversas areas tematicas, se utiliza para construir modelos analiticos.",Schema Objects/Attributes/Gobierno del Dato/Disponibilidad de Procesos/ABT,ID,ID,number,ABT_ID,REL_ABT_Sujeto_Analisis,logical_table
C12FF09240489E51A4ED3698D49B15C1,attribute,ABT,"Tablas que agrupan las variables de diversas areas tematicas, se utiliza para construir modelos analiticos.",Schema Objects/Attributes/Gobierno del Dato/Disponibilidad de Procesos/ABT,,DESC,text,ABT_Nombre,D_ABT,logical_table
C12FF09240489E51A4ED3698D49B15C1,attribute,ABT,"Tablas que agrupan las variables de diversas areas tematicas, se utiliza para construir modelos analiticos.",Schema Objects/Attributes/Gobierno del Dato/Disponibilidad de Procesos/ABT,,DESC2,text,ABT_DE,D_ABT,logical_table
FD12B47F4DBE3A871B5999AEB7025ADB,attribute,Acceso IVR,IVR al que ingresa el cliente según sus condiciones.,Schema Objects/Attributes/Gestion de Clientes/Llamadas IVR,ID,ID,number,IVR_Acceso_ID,D_IVR_Acceso,logical_table
FD12B47F4DBE3A871B5999AEB7025ADB,attribute,Acceso IVR,IVR al que ingresa el cliente según sus condiciones.,Schema Objects/Attributes/Gestion de Clientes/Llamadas IVR,ID,ID,number,IVR_Acceso_ID,F_TR_IVR_Llamada,logical_table
FD12B47F4DBE3A871B5999AEB7025ADB,attribute,Acceso IVR,IVR al que ingresa el cliente según sus condiciones.,Schema Objects/Attributes/Gestion de Clientes/Llamadas IVR,Codigo,CODIGO,number,IVR_Acceso_CD,D_IVR_Acceso,logical_table
FD12B47F4DBE3A871B5999AEB7025ADB,attribute,Acceso IVR,IVR al que ingresa el cliente según sus condiciones.,Schema Objects/Attributes/Gestion de Clientes/Llamadas IVR,Descripcion,DESC,text,IVR_Acceso_DE,D_IVR_Acceso,logical_table
C3CB465A40314B4C05CF50B8FC61EB99,attribute,Accion App,Describe la accion que intento realizar el usuario que utiliza la app mi movistar,Schema Objects/Attributes/Gestion de Clientes/Uso APP Mi Movistar/Pantalla,ID,ID,number,Accion_App_ID,D_Accion_App,logical_table
C3CB465A40314B4C05CF50B8FC61EB99,attribute,Accion App,Describe la accion que intento realizar el usuario que utiliza la app mi movistar,Schema Objects/Attributes/Gestion de Clientes/Uso APP Mi Movistar/Pantalla,ID,ID,number,Accion_App_ID,F_TR_Evento_APP_MI_MOVISTAR,logical_table
C3CB465A40314B4C05CF50B8FC61EB99,attribute,Accion App,Describe la accion que intento realizar el usuario que utiliza la app mi movistar,Schema Objects/Attributes/Gestion de Clientes/Uso APP Mi Movistar/Pantalla,ID,ID,number,Accion_App_ID,F_TR_Pantalla_APP_MI_MOVISTAR,logical_table
C3CB465A40314B4C05CF50B8FC61EB99,attribute,Accion App,Describe la accion que intento realizar el usuario que utiliza la app mi movistar,Schema Objects/Attributes/Gestion de Clientes/Uso APP Mi Movistar/Pantalla,Descripcion,DESC,text,Accion_App_DE,D_Accion_App,logical_table
C3CB465A40314B4C05CF50B8FC61EB99,attribute,Accion App,Describe la accion que intento realizar el usuario que utiliza la app mi movistar,Schema Objects/Attributes/Gestion de Clientes/Uso APP Mi Movistar/Pantalla,Codigo,CODIGO,text,Accion_App_CD,D_Accion_App,logical_table
557C2A4748626C8CC8DA3D815A1A3C64,attribute,Accion Visita,Tipificación del Movimiento de la Visita,Schema Objects/Attributes/Gestion de Clientes/Visitas/Visita,ID,ID,number,Accion_Visita_ID,F_TR_Visitas_D,logical_table
557C2A4748626C8CC8DA3D815A1A3C64,attribute,Accion Visita,Tipificación del Movimiento de la Visita,Schema Objects/Attributes/Gestion de Clientes/Visitas/Visita,ID,ID,number,Accion_Visita_ID,D_ACCION_VISITA,logical_table
557C2A4748626C8CC8DA3D815A1A3C64,attribute,Accion Visita,Tipificación del Movimiento de la Visita,Schema Objects/Attributes/Gestion de Clientes/Visitas/Visita,DESC,DESC,text,Accion_Visita_DE,D_ACCION_VISITA,logical_table
