objectId,subType,name,description,folder,formName,formCategory,displayFormat,expression,tableName,tableSubType
8AC91549488412F8360B7DB41BE89C19,attribute,Actividad Financiera,Actividad Financiera de la que se origina la transaccion contable.,Schema Objects/Attributes/Pagos Contabilizados,ID,ID,number,ACTIVIDAD_FINANCIERA_ID,V_D_ACTIVIDAD_FINANCIERA,logical_table
8AC91549488412F8360B7DB41BE89C19,attribute,Actividad Financiera,Actividad Financiera de la que se origina la transaccion contable.,Schema Objects/Attributes/Pagos Contabilizados,ID,ID,number,ACTIVIDAD_FINANCIERA_ID,V_F_TR_PAGOS_CONTABILIZADOS_D,logical_table
8AC91549488412F8360B7DB41BE89C19,attribute,Actividad Financiera,Actividad Financiera de la que se origina la transaccion contable.,Schema Objects/Attributes/Pagos Contabilizados,Codigo,CODIGO,text,ACTIVIDAD_FINANCIERA_CD,V_D_ACTIVIDAD_FINANCIERA,logical_table
8AC91549488412F8360B7DB41BE89C19,attribute,Actividad Financiera,Actividad Financiera de la que se origina la transaccion contable.,Schema Objects/Attributes/Pagos Contabilizados,Descripcion,DESC,text,ACTIVIDAD_FINANCIERA_DE,V_D_ACTIVIDAD_FINANCIERA,logical_table
81D28BE24BCE0E9A4E988CAF470308D8,attribute,Acuerdo Facturacion,,Schema Objects/Attributes/Facturacion Cabecera,Acuerdo Facturacion,CODIGO,number,ACUERDO_FACTURACION_CD,V_F_TR_COBROS_DETALLE_D,logical_table
81D28BE24BCE0E9A4E988CAF470308D8,attribute,Acuerdo Facturacion,,Schema Objects/Attributes/Facturacion Cabecera,Acuerdo Facturacion,CODIGO,number,ACUERDO_FACTURACION_CD,V_F_TR_FACTURACION_CABECERA_D,logical_table
81D28BE24BCE0E9A4E988CAF470308D8,attribute,Acuerdo Facturacion,,Schema Objects/Attributes/Facturacion Cabecera,Acuerdo Facturacion,CODIGO,number,ACUERDO_FACTURACION_CD,V_F_TR_FACTURACION_DETALLE_D,logical_table
81D28BE24BCE0E9A4E988CAF470308D8,attribute,Acuerdo Facturacion,,Schema Objects/Attributes/Facturacion Cabecera,Acuerdo Facturacion,CODIGO,number,ACUERDO_FACTURACION_CD,V_F_TR_FACTURACION_IMPUESTOS_D,logical_table
54DE0DF54F6BFB2A17783692BFD22FF9,attribute,Alicuota Impuesto,,Schema Objects/Attributes/Facturacion Impuestos/Impuesto,Alicuota,Alicuota Impuesto None,number,ALICUOTA_IMPUESTO_NR,V_F_TR_FACTURACION_IMPUESTOS_D,logical_table
26FA98204A07A07E1CF301B2DDF7F33D,attribute,Anio,,Schema Objects/Attributes/Tiempo,Anio,ID,number,ANIO_ID,V_D_ANIO,logical_table
66F9169848A6C9084CC96891AF882BE4,attribute,Anio Actualizacion Pago,,Schema Objects/Attributes/Pagos Detalle/Tiempo/Fecha Actualizacion Pago,Anio,ID,number,ANIO_ID,A_V_D_CALENDARIO_FECHA_ACTUALIZACION_PAGO,logical_table
095813264BAD854103637B9C574A9DD3,attribute,Anio Actualizacion Registro,Anio de Actualizacion del registro Contable,Schema Objects/Attributes/Pagos Contabilizados/Tiempo/Fecha Actualizacion Registro,Anio,ID,number,ANIO_ID,A_V_D_CALENDARIO_FECHA_ACTUALIZACION_REGISTRO,logical_table
6552BCF448F78A81ED38F896CFD164D9,attribute,Anio CAE,,Schema Objects/Attributes/Facturacion Cabecera/Tiempo/Fecha CAE,Anio,ID,number,ANIO_ID,A_V_D_CALENDARIO_FECHA_CAE,logical_table
56DDFA8A421B427E8DCE0D9BBEB6B1A2,attribute,Anio Conciliacion Pago,,Schema Objects/Attributes/Pagos Desconciliados/Tiempo/Fecha Conciliacion Pago,Anio,ID,number,ANIO_ID,A_V_D_CALENDARIO_FECHA_CONCILIACION_PAGO,logical_table
F374FA4D49763B118B4630B89DA050B2,attribute,Anio Creacion Factura,,Schema Objects/Attributes/Facturacion Cabecera/Tiempo/Fecha Creacion,Anio,ID,number,ANIO_ID,A_V_D_CALENDARIO_FECHA_CREACION_FACTURA,logical_table
BF895C354371607E97CE11A5145995CA,attribute,Anio Creacion Pago,,Schema Objects/Attributes/Pagos Detalle/Tiempo/Fecha Creacion Pago,Anio,ID,number,ANIO_ID,A_V_D_CALENDARIO_FECHA_CREACION_PAGO,logical_table
DB8212EC41FCEBA385F682B472E9C346,attribute,Anio de Actividad,Anio original de la actividad / transaccion,Schema Objects/Attributes/Pagos Contabilizados/Tiempo/Fecha Actividad,Anio,ID,number,ANIO_ID,A_V_D_CALENDARIO_FECHA_ACTIVIDAD,logical_table
A5DCC1F84488D023CC8E36BC8BE22849,attribute,Anio de Creacion Registro,Anio de creacion del Registro Contable,Schema Objects/Attributes/Pagos Contabilizados/Tiempo/Fecha Creacion Registro,Anio,ID,number,ANIO_ID,A_V_D_CALENDARIO_FECHA_CREACION_REGISTRO,logical_table
2E1D77654C5EFB07E4D811A5508B4974,attribute,Anio Desconciliacion Pago,,Schema Objects/Attributes/Pagos Desconciliados/Tiempo/Fecha Desconciliacion Pago,Anio,ID,number,ANIO_ID,A_V_D_CALENDARIO_FECHA_DESCONCILIACION_PAGO,logical_table
F8B839D54745BA22C68A96A11107B1B1,attribute,Anio Efectivo Pago,,Schema Objects/Attributes/Pagos Desconciliados/Tiempo/Fecha Efectiva Pago,Anio,ID,number,ANIO_ID,A_V_D_CALENDARIO_FECHA_EFECTIVA_PAGO,logical_table
E489828645B45F34FA3E7B827B6EB210,attribute,Anio Ejecucion Conciliacion,,Schema Objects/Attributes/Pagos Desconciliados/Tiempo/Fecha Ejecucion Conciliacion,Anio,ID,number,ANIO_ID,A_V_D_CALENDARIO_FECHA_EJECUCION_CONCILIACION,logical_table
9A7CDBEB46389B81AE85999C589018B6,attribute,Anio Emision Factura,,Schema Objects/Attributes/Facturacion Cabecera/Tiempo/Fecha Emision,Anio,ID,number,ANIO_ID,A_V_D_CALENDARIO_FECHA_EMISION_FACTURA,logical_table
